Time,Other
7.07,1
7.08,1
7.09,1
7.1,1
7.11,1
7.12,1
7.13,1
7.14,1
7.15,1
7.16,1
7.17,1
7.18,1
7.19,1
7.2,1
7.21,1
7.22,1
7.23,1
7.24,1
7.25,1
7.26,1
7.27,1
7.28,1
7.29,1
7.3,1
7.31,1
7.32,1
7.33,1
7.34,1
7.35,1
7.36,1
7.37,1
7.38,1
7.39,1
7.4,1
7.41,1
7.42,1
7.43,1
7.44,1
7.45,1
7.46,1
7.47,1
7.48,1
7.49,1
7.5,1
7.51,1
7.52,1
7.53,1
7.54,1
7.55,1
7.56,1
7.57,1
7.58,1
7.59,1
8,5
8.01,6
8.02,3
8.03,4
8.04,8
8.05,7
8.06,9
8.07,8
8.08,8
8.09,5
8.1,7
8.11,5
8.12,6
8.13,4
8.14,9
8.15,8
8.16,4
8.17,5
8.18,5
8.19,8
8.2,8
8.21,3
8.22,8
8.23,8
8.24,7
8.25,6
8.26,3
8.27,8
8.28,8
8.29,8
8.3,6
8.31,8
8.32,5
8.33,7
8.34,9
8.35,8
8.36,7
8.37,9
8.38,9
8.39,9
8.4,4
8.41,8
8.42,9
8.43,9
8.44,7
8.45,7
8.46,9
8.47,9
8.48,8
8.49,4
8.5,4
8.51,9
8.52,6
8.53,8
8.54,9
8.55,9
8.56,8
8.57,8
8.58,8
8.59,7
9,4
9.01,7
9.02,7
9.03,8
9.04,7
9.05,1
9.06,6
9.07,7
9.08,6
9.09,7
9.1,7
9.11,5
9.12,5
9.13,5
9.14,6
9.15,8
9.16,7
9.17,7
9.18,5
9.19,7
9.2,7
9.21,5
9.22,6
9.23,7
9.24,5
9.25,5
9.26,7
9.27,6
9.28,5
9.29,6
9.3,7
9.31,7
9.32,7
9.33,7
9.34,6
9.35,7
9.36,7
9.37,7
9.38,7
9.39,8
9.4,5
9.41,6
9.42,4
9.43,8
9.44,7
9.45,8
9.46,6
9.47,8
9.48,3
9.49,7
9.5,6
9.51,8
9.52,5
9.53,7
9.54,5
9.55,8
9.56,8
9.57,6
9.58,5
9.59,8
10,1
10.01,1
10.02,1
10.03,1
10.04,1
10.05,1
10.06,1
10.07,1
10.08,1
10.09,1
10.1,1
10.11,1
10.12,1
10.13,1
10.14,1
10.15,1
10.16,1
10.17,1
10.18,1
10.19,1
10.2,1
10.21,1
10.22,1
10.23,1
10.24,1
10.25,1
10.26,1
10.27,1
10.28,1
10.29,1
10.3,1
10.31,1
10.32,1
10.33,1
10.34,1
10.35,1
10.36,1
10.37,1
10.38,1
10.39,1
10.4,1
10.41,1
10.42,1
10.43,1
10.44,1
10.45,1
10.46,1
10.47,1
10.48,1
10.49,1
10.5,1
10.51,1
10.52,1
10.53,1
10.54,1
10.55,1
10.56,1
10.57,1
10.58,1
10.59,1
11,1
11.01,2
11.02,2
11.03,2
11.04,2
11.05,2
11.06,2
11.07,2
11.08,3
11.09,2
11.1,2
11.11,2
11.12,2
11.13,3
11.14,2
11.15,3
11.16,3
11.17,2
11.18,2
11.19,3
11.2,3
11.21,2
11.22,2
11.23,2
11.24,2
11.25,2
11.26,2
11.27,2
11.28,1
11.29,2
11.3,2
11.31,2
11.32,3
11.33,3
11.34,2
11.35,2
11.36,3
11.37,2
11.38,2
11.39,2
11.4,3
11.41,3
11.42,2
11.43,2
11.44,3
11.45,2
11.46,2
11.47,2
11.48,3
11.49,2
11.5,2
11.51,2
11.52,3
11.53,3
11.54,2
11.55,2
11.56,3
11.57,3
11.58,2
11.59,2
12,5
12.01,6
12.02,8
12.03,9
12.04,10
12.05,9
12.06,7
12.07,5
12.08,9
12.09,8
12.1,9
12.11,5
12.12,4
12.13,10
12.14,10
12.15,6
12.16,9
12.17,5
12.18,5
12.19,9
12.2,10
12.21,5
12.22,6
12.23,5
12.24,8
12.25,5
12.26,10
12.27,9
12.28,5
12.29,10
12.3,5
12.31,6
12.32,6
12.33,7
12.34,9
12.35,9
12.36,6
12.37,9
12.38,8
12.39,4
12.4,4
12.41,3
12.42,8
12.43,6
12.44,10
12.45,10
12.46,8
12.47,5
12.48,9
12.49,4
12.5,10
12.51,9
12.52,8
12.53,9
12.54,3
12.55,9
12.56,5
12.57,9
12.58,7
12.59,9
13,6
13.01,5
13.02,5
13.03,5
13.04,5
13.05,5
13.06,5
13.07,5
13.08,5
13.09,5
13.1,5
13.11,5
13.12,5
13.13,4
13.14,5
13.15,4
13.16,5
13.17,4
13.18,5
13.19,4
13.2,5
13.21,5
13.22,4
13.23,4
13.24,3
13.25,3
13.26,5
13.27,5
13.28,4
13.29,5
13.3,4
13.31,4
13.32,4
13.33,4
13.34,4
13.35,4
13.36,4
13.37,4
13.38,4
13.39,4
13.4,4
13.41,4
13.42,4
13.43,4
13.44,4
13.45,4
13.46,4
13.47,4
13.48,4
13.49,2
13.5,4
13.51,4
13.52,4
13.53,3
13.54,4
13.55,4
13.56,4
13.57,3
13.58,4
13.59,3
14,1
14.01,1
14.02,1
14.03,1
14.04,1
14.05,1
14.06,1
14.07,1
14.08,1
14.09,1
14.1,1
14.11,1
14.12,1
14.13,1
14.14,1
14.15,1
14.16,1
14.17,1
14.18,1
14.19,1
14.2,1
14.21,1
14.22,1
14.23,1
14.24,1
14.25,1
14.26,1
14.27,1
14.28,1
14.29,1
14.3,1
14.31,1
14.32,1
14.33,1
14.34,1
14.35,1
14.36,1
14.37,1
14.38,1
14.39,1
14.4,1
14.41,1
14.42,1
14.43,1
14.44,1
14.45,1
14.46,1
14.47,1
14.48,1
14.49,1
14.5,1
14.51,1
14.52,1
14.53,1
14.54,1
14.55,1
14.56,1
14.57,1
14.58,1
14.59,1
15,1
15.01,1
15.02,1
15.03,1
15.04,1
15.05,1
15.06,1
15.07,1
15.08,1
15.09,1
15.1,1
15.11,1
15.12,1
15.13,1
15.14,1
15.15,1
15.16,1
15.17,1
15.18,1
15.19,1
15.2,1
15.21,1
15.22,1
15.23,1
15.24,1
15.25,1
15.26,1
15.27,1
15.28,1
15.29,1
15.3,1
15.31,1
15.32,1
15.33,1
15.34,1
15.35,1
15.36,1
15.37,1
15.38,1
15.39,1
15.4,1
15.41,1
15.42,1
15.43,1
15.44,1
15.45,1
15.46,1
15.47,1
15.48,1
15.49,1
15.5,1
15.51,1
15.52,1
15.53,1
15.54,1
15.55,1
15.56,1
15.57,1
15.58,1
15.59,1
16,7
16.01,8
16.02,5
16.03,6
16.04,7
16.05,3
16.06,9
16.07,6
16.08,9
16.09,5
16.1,10
16.11,6
16.12,8
16.13,5
16.14,7
16.15,8
16.16,10
16.17,5
16.18,8
16.19,9
16.2,5
16.21,3
16.22,7
16.23,10
16.24,5
16.25,8
16.26,6
16.27,9
16.28,10
16.29,6
16.3,10
16.31,6
16.32,7
16.33,9
16.34,8
16.35,5
16.36,6
16.37,3
16.38,10
16.39,9
16.4,5
16.41,6
16.42,10
16.43,6
16.44,10
16.45,7
16.46,6
16.47,7
16.48,6
16.49,5
16.5,9
16.51,6
16.52,7
16.53,8
16.54,6
16.55,7
16.56,6
16.57,9
16.58,7
16.59,6
17,8
17.01,8
17.02,7
17.03,7
17.04,7
17.05,7
17.06,6
17.07,9
17.08,9
17.09,6
17.1,9
17.11,9
17.12,7
17.13,4
17.14,7
17.15,7
17.16,9
17.17,8
17.18,2
17.19,7
17.2,6
17.21,8
17.22,7
17.23,3
17.24,9
17.25,8
17.26,7
17.27,8
17.28,8
17.29,9
17.3,6
17.31,6
17.32,8
17.33,3
17.34,5
17.35,5
17.36,5
17.37,4
17.38,6
17.39,8
17.4,9
17.41,7
17.42,5
17.43,6
17.44,6
17.45,8
17.46,9
17.47,4
17.48,2
17.49,5
17.5,6
17.51,8
17.52,8
17.53,8
17.54,7
17.55,2
17.56,4
17.57,8
17.58,4
17.59,5
18,1
18.01,1
18.02,1
18.03,1
18.04,1
18.05,1
18.06,1
18.07,1
18.08,1
18.09,1
18.1,1
18.11,1
18.12,1
18.13,1
18.14,1
18.15,1
18.16,1
18.17,1
18.18,1
18.19,1
18.2,1
18.21,1
18.22,1
18.23,1
18.24,1
18.25,1
18.26,1
18.27,1
18.28,1
18.29,1
18.3,1
18.31,1
18.32,1
18.33,1
18.34,1
18.35,1
18.36,1
18.37,1
18.38,1
18.39,1
18.4,1
18.41,1
18.42,1
18.43,1
18.44,1
18.45,1
18.46,1
18.47,1
18.48,1
18.49,1
18.5,1
18.51,1
18.52,1
18.53,1
18.54,1
18.55,1
18.56,1
18.57,1
18.58,1
18.59,1
19,1
19.01,1
19.02,1
19.03,1
19.04,1
19.05,1
19.06,1
19.07,1
19.08,1
19.09,1
19.1,1
19.11,1
19.12,1
19.13,1
19.14,1
19.15,1
19.16,1
19.17,1
19.18,1
19.19,1
19.2,1
19.21,1
19.22,1
19.23,1
19.24,1
19.25,1
19.26,1
19.27,1
19.28,1
19.29,1
19.3,1
19.31,1
19.32,1
19.33,1
19.34,1
19.35,1
19.36,1
19.37,1
19.38,1
19.39,1
19.4,1
19.41,1
19.42,1
19.43,1
19.44,1
19.45,1
19.46,1
19.47,1
19.48,1
19.49,1
19.5,1
19.51,1
19.52,1
19.53,1
19.54,1
19.55,1
19.56,1
19.57,1
19.58,1
19.59,1
20,6
20.01,6
20.02,6
20.03,4
20.04,5
20.05,6
20.06,3
20.07,2
20.08,5
20.09,4
20.1,3
20.11,6
20.12,6
20.13,5
20.14,6
20.15,6
20.16,6
20.17,5
20.18,5
20.19,6
20.2,6
20.21,5
20.22,5
20.23,5
20.24,5
20.25,4
20.26,4
20.27,5
20.28,5
20.29,5
20.3,5
20.31,5
20.32,5
20.33,5
20.34,5
20.35,5
20.36,5
20.37,5
20.38,5
20.39,5
20.4,0
20.41,5
20.42,5
20.43,5
20.44,5
20.45,5
20.46,1
20.47,5
20.48,5
20.49,5
20.5,5
20.51,5
20.52,5
20.53,4
20.54,5
20.55,4
20.56,5
20.57,5
20.58,5
20.59,5
21,5
21.01,4
21.02,4
21.03,4
21.04,4
21.05,4
21.06,4
21.07,4
21.08,4
21.09,4
21.1,4
21.11,4
21.12,4
21.13,4
21.14,4
21.15,4
21.16,4
21.17,4
21.18,4
21.19,4
21.2,4
21.21,4
21.22,4
21.23,4
21.24,4
21.25,4
21.26,4
21.27,4
21.28,4
21.29,4
21.3,4
21.31,4
21.32,4
21.33,4
21.34,4
21.35,4
21.36,4
21.37,4
21.38,4
21.39,4
21.4,4
21.41,4
21.42,4
21.43,4
21.44,4
21.45,4
21.46,4
21.47,4
21.48,4
21.49,4
21.5,2
21.51,4
21.52,4
21.53,3
21.54,4
21.55,4
21.56,4
21.57,4
21.58,4
21.59,4
22,1
22.01,1
22.02,1
22.03,1
22.04,1
22.05,1
22.06,1
22.07,1
22.08,1
22.09,1
22.1,1
22.11,1
22.12,1
22.13,1
22.14,1
22.15,1
22.16,1
22.17,1
22.18,1
22.19,1
22.2,1
22.21,1
22.22,1
22.23,1
22.24,1
22.25,1
22.26,1
22.27,1
22.28,1
22.29,1
22.3,1
22.31,1
22.32,1
22.33,1
22.34,1
22.35,1
22.36,1
22.37,1
22.38,1
22.39,1
22.4,1
22.41,1
22.42,1
22.43,1
22.44,1
22.45,1
22.46,1
22.47,1
22.48,1
22.49,1
22.5,1
22.51,1
22.52,1
22.53,1
22.54,1
22.55,1
22.56,1
22.57,1
22.58,1
22.59,1
23,1
23.01,1
23.02,1
23.03,1
23.04,1
23.05,1
23.06,1
23.07,1
23.08,1
23.09,1
23.1,1
23.11,1
23.12,1
23.13,1
23.14,1
23.15,1
23.16,1
23.17,1
23.18,1
23.19,1
23.2,1
23.21,1
23.22,1
23.23,1
23.24,1
23.25,1
23.26,1
23.27,1
23.28,1
23.29,1
23.3,1
23.31,1
23.32,1
23.33,1
23.34,1
23.35,1
23.36,1
23.37,1
23.38,1
23.39,1
23.4,1
23.41,1
23.42,1
23.43,1
23.44,1
23.45,1
23.46,1
23.47,1
23.48,1
23.49,1
23.5,1
23.51,1
23.52,1
23.53,1
23.54,1
23.55,1
23.56,1
23.57,1
23.58,1
23.59,1
